idx,lat,lon,shape,aggTemp,aggPsal,nProf
8791,65.5,-28.5,"[[-28.0, 65.0], [-28.0, 66.0], [-29.0, 66.0], [-29.0, 65.0], [-28.0, 65.0]]",8.3599998474,34.9620014191,10
8819,65.5,-0.5,"[[0.0, 65.0], [0.0, 66.0], [-1.0, 66.0], [-1.0, 65.0], [0.0, 65.0]]",10.2313999176,35.0068000793,5
8821,65.5,1.5,"[[2.0, 65.0], [2.0, 66.0], [1.0, 66.0], [1.0, 65.0], [2.0, 65.0]]",9.65060009,34.9410398865,25
8822,65.5,2.5,"[[3.0, 65.0], [3.0, 66.0], [2.0, 66.0], [2.0, 65.0], [3.0, 65.0]]",10.025,34.9809989929,5
8843,65.5,23.5,"[[24.0, 65.0], [24.0, 66.0], [23.0, 66.0], [23.0, 65.0], [24.0, 65.0]]",7.4000384257,2.5271923175,26
9123,64.5,-56.5,"[[-56.0, 64.0], [-56.0, 65.0], [-57.0, 65.0], [-57.0, 64.0], [-56.0, 64.0]]",3.2362105344,33.2698948509,19
9124,64.5,-55.5,"[[-55.0, 64.0], [-55.0, 65.0], [-56.0, 65.0], [-56.0, 64.0], [-55.0, 64.0]]",3.1341999769,33.3879005432,10
9125,64.5,-54.5,"[[-54.0, 64.0], [-54.0, 65.0], [-55.0, 65.0], [-55.0, 64.0], [-54.0, 64.0]]",2.3516000271,32.7787998199,10
9145,64.5,-34.5,"[[-34.0, 64.0], [-34.0, 65.0], [-35.0, 65.0], [-35.0, 64.0], [-34.0, 64.0]]",7.3860000769,34.7756671906,6
9177,64.5,-2.5,"[[-2.0, 64.0], [-2.0, 65.0], [-3.0, 65.0], [-3.0, 64.0], [-2.0, 64.0]]",9.3868461022,34.8443092933,13
9183,64.5,3.5,"[[4.0, 64.0], [4.0, 65.0], [3.0, 65.0], [3.0, 64.0], [4.0, 64.0]]",10.6366152763,34.8467694796,26
9185,64.5,5.5,"[[6.0, 64.0], [6.0, 65.0], [5.0, 65.0], [5.0, 64.0], [6.0, 64.0]]",10.7651051973,34.9251054463,19
9502,63.5,-37.5,"[[-37.0, 63.0], [-37.0, 64.0], [-38.0, 64.0], [-38.0, 63.0], [-37.0, 63.0]]",7.3791428294,34.8124286107,7
9505,63.5,-34.5,"[[-34.0, 63.0], [-34.0, 64.0], [-35.0, 64.0], [-35.0, 63.0], [-34.0, 63.0]]",7.5165001392,,10
9506,63.5,-33.5,"[[-33.0, 63.0], [-33.0, 64.0], [-34.0, 64.0], [-34.0, 63.0], [-33.0, 63.0]]",7.1165294647,34.8108580453,17
9525,63.5,-14.5,"[[-14.0, 63.0], [-14.0, 64.0], [-15.0, 64.0], [-15.0, 63.0], [-14.0, 63.0]]",10.6034000397,34.9603988647,5
9843,62.5,-56.5,"[[-56.0, 62.0], [-56.0, 63.0], [-57.0, 63.0], [-57.0, 62.0], [-56.0, 62.0]]",4.6103402774,34.2393069267,72
9860,62.5,-39.5,"[[-39.0, 62.0], [-39.0, 63.0], [-40.0, 63.0], [-40.0, 62.0], [-39.0, 62.0]]",7.1499166886,34.8400419553,24
9862,62.5,-37.5,"[[-37.0, 62.0], [-37.0, 63.0], [-38.0, 63.0], [-38.0, 62.0], [-37.0, 62.0]]",7.4737501144,,4
