,,ALAMO,APEX,APEX Profiling Float,APEX-SBE,APEX_D,ARGOS,ARVOR,ARVOR_D,GPS,GTS,HM2000,IRIDIUM,NAVIS,NAVISIR,NAVIS_A,NEMO,NINJA,NINJA_D,NOVA,NOVA-SBE,Nova-SBE,PALACE,POPS_PROVOR,PROVOR,PROVOR-SBE,PROVOR_CTS3-DO-I,PROVOR_II,PROVOR_III,PROVOR_IV,PROVOR_MT,Primary sampling: averaged [],Primary sampling: discrete,S2A,S2X,SOLO,SOLO-W,SOLO_D,SOLO_II,SOLO_W,Usage : ../sh/read_csv_list.sh <,aoml,bodc,coriolis,csio,csiro,date,incois,jma,kma,kordi,meds,nProf,nmdis
52,,,4968,,205.0,,8661,,,542.0,,,3.0,,,,6.0,24.0,,,,,,,530,6.0,,38.0,,,6.0,,,,,1399,,,,12.0,,5370,314,1050,26,489,2008-05-31,307,1222,135,148,287,9348,
53,,,5082,,202.0,,8477,,,709.0,,,6.0,,,,4.0,22.0,,,,,,,561,5.0,,34.0,,,12.0,,,,,1320,,,,8.0,,5290,299,1028,57,480,2008-06-30,288,1309,168,155,289,9363,
54,,,5119,,209.0,,8750,,,591.0,,,2.0,,,,3.0,22.0,,,,,,,584,3.0,,62.0,,,6.0,,,,,1344,,,,6.0,,5314,307,1093,58,503,2008-07-31,280,1345,190,151,295,9536,
55,,,5094,,198.0,,8697,,,557.0,,,4.0,,,,3.0,21.0,,,,,,,552,3.0,,68.0,,,12.0,,,,,1304,,,,5.0,,5244,295,1082,55,517,2008-08-31,302,1317,165,159,287,9423,
56,,,4932,,230.0,,8477,,,556.0,,,4.0,,,,3.0,17.0,,,,,,1.0,509,3.0,,54.0,,,6.0,,,,,1325,,,,7.0,,5172,297,1035,53,502,2008-09-30,274,1261,169,155,291,9209,
57,,,5161,,250.0,,8929,,,611.0,,,5.0,,,,3.0,17.0,,,,,,51.0,525,3.0,,59.0,,,12.0,,,,,1419,,,,16.0,,5493,320,1056,76,530,2008-10-31,260,1345,162,162,304,9708,
58,,,5490,,218.0,,8809,,,991.0,,,3.0,,,,1.0,18.0,,,,,,58.0,500,3.0,,54.0,,,7.0,,,,,1373,,,,28.0,,5476,322,1044,80,892,2008-11-30,229,1322,145,172,268,9950,
59,,,6091,,254.0,,9197,,,1440.0,,,3.0,,,,1.0,18.0,,,,,,45.0,512,3.0,,83.0,,,7.0,,,,,1435,,,,31.0,,5698,325,1168,82,1333,2008-12-31,226,1332,164,172,304,10804,
60,,,5741,,261.0,,9282,,,1008.0,,,2.0,,,,2.0,14.0,,,,,,46.0,495,1.0,,66.0,,,11.0,,,,,1397,,,,15.0,,5702,350,1165,83,950,2009-01-31,228,1329,147,176,309,10439,
61,,,5007,,228.0,,8429,6.0,,683.0,,,3.0,,,,,15.0,,,,,,27.0,452,,,62.0,,,6.0,,,,,1264,,,,7.0,,5162,314,1089,77,639,2009-02-28,203,1221,145,140,271,9261,
62,,,5549,,257.0,,9379,28.0,,748.0,,,2.0,,,,,16.0,,,,,,14.0,509,1.0,,64.0,,,12.0,,,,,1440,,,,6.0,,5779,340,1219,85,729,2009-03-31,202,1305,152,165,305,10281,
63,,,5375,,247.0,,9089,30.0,,732.0,,,3.0,,,,,16.0,,,,,,26.0,474,,,60.0,,,6.0,,,,,1387,,,,5.0,,5649,364,1171,94,691,2009-04-30,183,1233,139,147,293,9964,
64,,,5601,,250.0,,9418,34.0,,760.0,,,4.0,,,,4.0,18.0,,,,,,30.0,473,,,77.0,,,12.0,,,,,1396,,,,8.0,,5839,381,1197,112,723,2009-05-31,182,1291,123,157,302,10307,
65,,,5475,,258.0,,8984,33.0,,851.0,,,2.0,,,,2.0,18.0,,,,,,30.0,469,,,59.0,,,6.0,,,,,1314,,,,27.0,,5759,354,1111,109,661,2009-06-30,174,1207,148,152,312,9987,
66,,,5666,,275.0,,9185,34.0,,1007.0,,,1.0,,,,,17.0,,,,,,31.0,465,,,57.0,,,12.0,,,,,1344,,,,31.0,,6065,365,1115,113,688,2009-07-31,182,1179,143,152,334,10336,
67,,,5191,,253.0,,8920,34.0,,698.0,,,3.0,,,,,12.0,,,,,,29.0,463,,,56.0,,,6.0,,,,,1306,,,,28.0,,5656,360,1105,100,667,2009-08-31,202,1081,134,141,309,9755,
68,,,5002,,271.0,,8541,33.0,,689.0,,,4.0,,,,3.0,12.0,,,,,,30.0,432,,,56.0,,,8.0,,,,,1252,,,,27.0,,5425,341,1045,91,633,2009-09-30,187,1056,130,134,322,9364,
69,,,5068,,293.0,,8706,34.0,,668.0,,,2.0,,,,2.0,12.0,,,,,,11.0,434,,,57.0,,,10.0,,,,,1251,,,,27.0,,5507,347,1071,101,647,2009-10-31,191,1024,119,136,352,9495,
70,,,5179,,279.0,,8437,33.0,,827.0,,,3.0,,,,2.0,12.0,,,,,,,405,,,50.0,,,7.0,,,,,1188,,,,27.0,,5517,325,1043,100,643,2009-11-30,189,976,136,139,335,9403,
71,,,5207,,289.0,,8742,62.0,,757.0,,,4.0,,,,2.0,12.0,,,,,,,455,,,49.0,,,10.0,,,,,1239,,,,31.0,,5528,333,1140,96,720,2009-12-31,203,990,168,143,350,9671,
72,,,5190,,275.0,,8763,65.0,,732.0,,,4.0,,,,,13.0,,,,,,,452,,,46.0,,,5.0,,,,,1292,,,,32.0,,5532,328,1126,99,715,2010-01-31,205,1025,144,135,334,9643,
73,,,4746,,250.0,,7958,61.0,,745.0,,,5.0,,,,,8.0,,,,,,,408,,,40.0,,,10.0,,,,,1191,,,23.0,23.0,,5030,295,1016,98,690,2010-02-28,192,948,142,131,309,8851,
74,,,5240,,274.0,,8685,74.0,,881.0,,,9.0,,,,,1.0,,,,,,,447,,,41.0,,,5.0,,,,,1311,1.0,,32.0,24.0,,5560,331,1103,89,792,2010-03-31,227,994,171,129,350,9746,
75,,,4999,,263.0,,8260,69.0,,884.0,,,8.0,,,,,,,,,,,14.0,442,,,28.0,,,10.0,,,,,1219,3.0,,32.0,18.0,,5298,323,1040,92,792,2010-04-30,195,941,144,123,338,9296,10.0
76,,,5311,,276.0,,8519,71.0,,1210.0,,,5.0,,,,144.0,,,,,,,30.0,493,,,22.0,,,5.0,,,,,1200,3.0,,47.0,19.0,,5557,338,1050,102,826,2010-05-31,205,1115,163,127,374,9897,40.0
77,,,5088,,270.0,,8249,68.0,,1144.0,,,6.0,,,,181.0,,,,,,,28.0,513,,,18.0,,,6.0,,,,,1114,3.0,,50.0,11.0,,5261,339,1041,108,816,2010-06-30,183,1114,157,125,374,9556,38.0
78,,,5297,,280.0,,8500,75.0,,1159.0,,,3.0,,,,157.0,,,,,,,31.0,542,,,21.0,,,9.0,,,,,1105,3.0,,53.0,9.0,,5400,337,1124,109,852,2010-07-31,181,1097,180,125,397,9842,40.0
