timeIdx,timeIdx,endDate,hPres,lPres,nProf,psalMean,psalStd,startDate,tempMean,tempStd,depthMin,depthMax,depthIdx
58,58,2009-05-14,40,30,24,36.550903638203934,0.1083903653105603,2009-04-12,17.447499910990402,0.5727919719164258,30,40,3
59,59,2009-06-16,40,30,23,36.583131873089336,0.1078637235398123,2009-05-15,18.322087080582328,0.6235502242287854,30,40,3
60,60,2009-07-19,40,30,24,36.539722124735505,0.20938474006249888,2009-06-17,19.399624903996784,0.9879695803537992,30,40,3
61,61,2009-08-21,40,30,28,36.49683747972761,0.2233496393229847,2009-07-20,20.490392957414898,1.5769886760680358,30,40,3
62,62,2009-09-23,40,30,26,36.70115661621094,0.1722523508889727,2009-08-22,21.87149986853966,1.5080148796521922,30,40,3
63,63,2009-10-26,40,30,24,36.730034669240325,0.18416452096621666,2009-09-24,22.286583344141647,0.7398087545364103,30,40,3
64,64,2009-11-28,40,30,28,36.6605156489781,0.21144018442333887,2009-10-27,21.374333558259192,0.9104600349488836,30,40,3
65,65,2009-12-31,40,30,27,36.538347173620146,0.1850597516678296,2009-11-29,19.309592564900715,1.0091971965195785,30,40,3
66,66,2010-02-03,40,30,29,36.444644007189524,0.18818569265863544,2010-01-01,17.681345018847235,1.1008445978926549,30,40,3
67,67,2010-03-09,40,30,24,36.43923203150431,0.1458401876024324,2010-02-04,17.21833336353302,0.8094381282250921,30,40,3
68,68,2010-04-11,40,30,24,36.37429634730021,0.16010218079145394,2010-03-10,16.762833277384438,0.8727824642283987,30,40,3
69,69,2010-05-14,40,30,27,36.411417360659,0.16048310067036906,2010-04-12,17.324481434292267,0.8654980353776699,30,40,3
70,70,2010-06-16,40,30,30,36.485983022054036,0.1446064860755655,2010-05-15,18.533499844868977,0.7220278017710696,30,40,3
71,71,2010-07-19,40,30,25,36.51149200439453,0.1437727403148927,2010-06-17,19.537319869995123,0.8598936536449381,30,40,3
72,72,2010-08-21,40,30,30,36.52344856262207,0.13542834144024027,2010-07-20,20.664866574605306,1.0354966466635185,30,40,3
73,73,2010-09-23,40,30,29,36.55038715231007,0.1643862518437861,2010-08-22,21.532172499031855,1.2507749810747881,30,40,3
74,74,2010-10-26,40,30,25,36.62979461669922,0.16005153639522787,2010-09-24,22.054440155029297,0.7027261052523583,30,40,3
75,75,2010-11-28,40,30,24,36.64296754201253,0.15164715281035887,2010-10-27,20.823583443959556,0.9895093834530028,30,40,3
76,76,2010-12-31,40,30,19,36.55974960327149,0.09766456690281236,2010-11-29,18.906631670500104,0.8796377969516228,30,40,3
